label	question	lang
LOC:state	What is the largest city in North Dakota?	en
ENTY:techmeth	What is robotics?	en
ABBR:abb	In computing, TLS refers to what?	en
ENTY:body	Which muscles are the only muscles that can be consciously controlled	en
ENTY:lang	What is Polish?	en
LOC:state	What is Maryland known for?	en
NUM:ord	What is the twelfth letter of the alphabet?	en
ENTY:animal	How do animals defend?	en
LOC:state	How are autonomous regions administered?	en
DESC:manner	Describe how to build a bookshelf	en
ENTY:sport	What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid	en
ENTY:substance	What precious stone is a form of pure carbon	en
DESC:desc	Where did the energy for the Big Bang come from	en
HUM:gr	What culture developed the idea of potlatch	en
LOC:country	What country owns Corsica	en
LOC:landmass	What is Ellesmere?	en
LOC:water	What is the Lake Superior?	en
ENTY:substance	What is salt?	en
NUM:perc	What fraction of the Earths oxygen is produced by ocean plankton?	en
ENTY:plant	Which plant is drought resistant?	en
NUM:ord	What is the fourth book in the series?	en
DESC:def	What is barnstorming	en
NUM:dist	How far is Paris from Tokyo?	en
ENTY:animal	How do ethologists study?	en
NUM:code	What is the hexadecimal code for letter A?	en
ENTY:dismed	What infectious disease is the worlds deadliest	en
ENTY:body	What is the function of the liver?	en
NUM:code	What is the telephone number for the University of Kentucky	en
ENTY:color	How does camouflage use?	en
ENTY:dismed	How is obesity treated?	en
NUM:volsize	How big is a tennis ball?	en
NUM:code	How are barcode codes structured?	en
ENTY:plant	What plant is known as the corpse flower?	en
DESC:desc	What is the nursery rhyme Rock-a-by Baby about	en
DESC:def	What is ambiguity?	en
LOC:city	What country is Bangkok in?	en
ENTY:termeq	What is a synonym for till?	en
ENTY:veh	How does a snowmobile work?	en
NUM:code	What does error code E418 mean in web?	en
ENTY:body	How many bones are in the human spine?	en
NUM:period	How long is the typical duration of anesthesia during surgery?	en
ENTY:letter	How many consonants are in the English alphabet?	en
ENTY:food	Where does carrot come from?	en
DESC:def	What is perlocution?	en
DESC:reason	Why do people bond?	en
DESC:reason	What causes deforestation?	en
NUM:weight	What is the weight of blood?	en
HUM:desc	What does a actor do?	en
DESC:def	What is The Gay Science	en
NUM:volsize	What is the volume of a standard shipping container?	en
DESC:reason	Why do many Native American students not complete college	en
LOC:city	Tell me about Amsterdam	en
LOC:country	What is the capital of India?	en
ENTY:word	What is a synonym for old?	en
DESC:manner	How do you tell somebody you like them	en
ENTY:color	How do sports team colors?	en
NUM:volsize	what size was the largest reptile to ever live	en
HUM:title	What is the role of a Coordinator?	en
ENTY:religion	How is Taoism taught?	en
ABBR:exp	What does PRK stand for?	en
NUM:perc	What percentage is water?	en
NUM:temp	At what temperature does steel lose its strength?	en
NUM:count	How many thousands of students attend the University of Massachusetts	en
ENTY:product	What is iPad?	en
ENTY:lang	Where is Chinese spoken?	en
DESC:desc	What exactly, specifically does sleep do for you	en
ENTY:animal	How do animals sense temperature?	en
ENTY:animal	What defines an apex predator?	en
ENTY:symbol	What is the ♣ symbol used for?	en
ENTY:event	When did the Renaissance occur?	en
ENTY:symbol	name all traffic signs	en
NUM:money	What is the amount of money owed for illegally having a dog on a beach	en
LOC:other	Where on the Web is Adventours Tours from Sydney, Australia	en
NUM:period	How long did it take Stanley to find Livingstone	en
ABBR:abb	What is the acronym for User-Centered Design?	en
NUM:temp	At what temperature does concrete set?	en
ABBR:exp	What does TCA represent?	en
LOC:other	What is a geographic location at coordinates -23, -60?	en
ENTY:symbol	What is the registered trademark symbol?	en
HUM:title	Who holds the title of Princess?	en
ENTY:color	What is leucism?	en
HUM:ind	Who invented the Moog Synthesizer	en
ENTY:body	What is the function of the hair?	en
ENTY:religion	What is Catholicism based on?	en
ENTY:body	How many lobes does the human brain have?	en
ABBR:abb	What is the meaning of CRUD?	en
ENTY:event	What happened during the Reformation?	en
ENTY:food	What do river otters eat	en
ENTY:termeq	Whats the term for an organism that lives on or in another	en
NUM:money	How much did a McDonalds hamburger cost in 1963	en
ENTY:veh	How thick is a car bumper in modern designs?	en
ENTY:instru	What tool measures pH levels?	en
LOC:water	What is the Amazon River?	en
NUM:date	What year was the Industrial Revolution?	en
HUM:title	What is a Commissioner?	en
ABBR:abb	What is the meaning of RNA?	en
LOC:country	How is a nation governed?	en
ENTY:sport	What are the rules of tennis?	en
NUM:speed	What is the speed of a cat?	en
ABBR:exp	Expand the acronym HTTP	en
ENTY:symbol	Where is the degree symbol symbol used?	en
ENTY:animal	In Beetle Bailey, can you name Sarges dog	en
DESC:desc	How are endings described finitely?	en
ENTY:letter	What letter is used for sulfur on the periodic table?	en
LOC:city	What country is London in?	en
ABBR:exp	What does RNA expand to?	en
ENTY:other	What kind of education do I need to become a flight attendant	en
NUM:code	What does error code E401 mean in web?	en
LOC:landmass	What continents name appears on the upper left corner of a Budweiser label	en
DESC:reason	Why did several San Diego schools remove apples from students menus	en
ENTY:instru	How do you use a axe?	en
NUM:date	When will Jean Aeul publish her next book	en
ENTY:veh	What is the structural rigidity of a car chassis?	en
NUM:speed	What is the speed of light in water?	en
NUM:code	What is the ASCII code for bell?	en
ENTY:other	How are historical photos archived?	en
ENTY:food	What is a mineral?	en
ENTY:religion	What do Jainism followers believe?	en
ABBR:abb	RAM abbreviates what?	en
ENTY:word	What is a noun?	en
ENTY:body	What is the function of the corpus callosum?	en
ENTY:plant	How do roots absorb?	en
ENTY:food	Where does orange come from?	en
NUM:count	How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie, Scotland, December 21, CD	en
NUM:date	How many days are in 2024?	en
ENTY:veh	How many wheels does a bicycle have?	en
NUM:other	How many lakes are there?	en
ENTY:other	What is Bella Abzugs sartorial trademark	en
LOC:city	The Orange Bowl is located in what city	en
LOC:landmass	Where is Madagascar?	en
DESC:def	How does backformation work?	en
DESC:def	What are geckos	en
NUM:period	How many hours does a typical concert last?	en
LOC:mount	Which mountain is the highest in the Andes?	en
ENTY:termeq	Whats a Drinker respirator better known as	en
ENTY:animal	What is a hawk?	en
NUM:ord	What is twenty-first?	en
NUM:period	How long does it take for a bone to heal after fracture?	en
ENTY:other	What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions	en
NUM:period	What is the average lifespan of a wolf?	en
ABBR:abb	DNS abbreviates what?	en
LOC:country	What southeast Asian country has the Wang River joining the Ping River at Tak	en
ENTY:veh	What is a skateboard?	en
DESC:manner	How do they find an epicenter	en
ENTY:dismed	What is a fungus?	en
DESC:reason	Why is we have hiccups?	en
NUM:money	What is the exchange rate between England and the U.S.	en
NUM:count	Count the species	en
NUM:count	What is the number of provinces of Indonesia?	en
ENTY:cremat	What are the shortest and the longest songs ever produced	en
DESC:def	How do status markers show?	en
DESC:reason	Why are sometimes your hands cold, but the rest of you isn t	en
DESC:reason	Shea and Gould closed their Los Angeles office for what reason	en
NUM:temp	At what temperature does chocolate reach its melting point?	en
ENTY:animal	What are the two largest birds on earth	en
ENTY:animal	What is a group of frogs called	en
DESC:def	What is a message?	en
LOC:city	What U.S. city is The Queen of the Pacific	en
ENTY:food	What is Fish?	en
ENTY:food	What is cucumber?	en
ENTY:body	How do platelets clot?	en
NUM:temp	What should the temperature be set at while baking Peachy Oat Muffins	en
ENTY:product	What is a bookshelf?	en
NUM:code	What is the octal code for letter A?	en
DESC:desc	How are conflicts described antagonistically?	en
HUM:ind	What is Rona Barretts married name	en
ENTY:product	How does a dishwasher work?	en
ENTY:instru	What is a trumpet used for?	en
LOC:water	How salty is the Indian Ocean?	en
ENTY:symbol	What is the + symbol?	en
DESC:manner	How do nomads wander?	en
ENTY:cremat	What are the most albums sold by one artist or band	en
ENTY:food	What is beer?	en
DESC:manner	How do veterinarians treat?	en
NUM:dist	How far is Tokyo from New York?	en
ENTY:animal	How do animals use mimicry?	en
ENTY:animal	What are crustaceans?	en
ENTY:veh	How many wheels does a standard forklift have?	en
LOC:state	What is the nickname for the state of Mississippi	en
NUM:count	How many mines can still be found in the Falklands after the war ended	en
LOC:mount	How high is Mount Elbrus?	en
ENTY:word	What does inanimous mean?	en
HUM:title	What is a Duke?	en
ENTY:currency	What currency does Australia use?	en
DESC:reason	Why do mountains rise?	en
ABBR:abb	What is the acronym for Galileo?	en
LOC:landmass	What is Mindanao?	en
NUM:count	What is the number of sides of a die?	en
LOC:landmass	What is a fjord?	en
ENTY:substance	What is hydrogen peroxide used for?	en
ENTY:animal	What makes undulation useful?	en
NUM:date	What year was World War I?	en
ENTY:veh	Name the ship Beany and Cecil sailed	en
ENTY:plant	Where do sunflowers grow?	en
LOC:water	Where is the Mississippi River?	en
ENTY:color	How is indigo different from blue?	en
ENTY:termeq	What other name were the Little Rascals known as	en
ENTY:termeq	What is a term equivalent to dark?	en
ENTY:termeq	What is the name of the art of growing miniature trees	en
ABBR:exp	What does IR expand to?	en
ENTY:plant	What is a tulip?	en
HUM:gr	What was the previous name for the Commonwealth	en
ENTY:word	What does confined mean?	en
ENTY:termeq	What is a synonym for couch?	en
ENTY:animal	What are social insects?	en
DESC:desc	What creates luminous imagery?	en
ENTY:dismed	What does Salk vaccine prevent	en
ABBR:exp	What does RWA expand to?	en
NUM:date	When was the radio invented?	en
ENTY:product	What is a chair made of?	en
ENTY:event	What is an exhibition?	en
HUM:ind	Tell me about Napoleon Bonaparte	en
DESC:desc	Whats the difference between carelessness and carefreeness	en
ENTY:product	What is a washing machine?	en
LOC:landmass	What is the Sahara?	en
ENTY:currency	How many baht are in a dollar?	en
HUM:gr	What defines a alliance?	en
ENTY:lang	What is Norwegian?	en
ENTY:word	What does loquacious mean?	en
ENTY:color	What color is khaki?	en
ENTY:other	What is the high pitched sound that you hear in your ear every now and then, but then it goes away, after a while	en
DESC:desc	What is the Mona Lisa like?	en
ENTY:currency	How many rubles are in a dollar?	en
HUM:ind	Who was the inventor of the stove	en
ENTY:instru	What instrument measures earthquake intensity?	en
HUM:ind	How are artists?	en
HUM:gr	What government department did The Untouchables work for	en
DESC:manner	What is the way to take a photograph?	en
NUM:code	tell me the hospitals phone number	en
DESC:def	What does the word camaro mean, from the GM car the Camaro	en
ABBR:abb	What does SSL secure?	en
ENTY:termeq	Aspartame is also known as what	en
LOC:landmass	What island has a park called The Battery at is southern tip	en
ABBR:abb	What does NASA mean?	en
ENTY:cremat	What is the purpose of requiem?	en
ENTY:letter	What letter follows q most often?	en
NUM:temp	What temperature does water evaporate?	en
ENTY:body	Where is the cerebellum?	en
NUM:period	How many centuries have passed since the year 1800?	en
LOC:mount	Where is Mount Rainier?	en
NUM:speed	What is the speed hummingbirds fly	en
LOC:country	What countries have the largest areas of forest	en
NUM:date	When was Florida admitted into the Union	en
ENTY:instru	How does a synthesizer generate?	en
ENTY:lang	What is the primary language of Poland?	en
DESC:desc	What do Christian Scientists believe in	en
ENTY:body	How many chambers does the heart have?	en
ENTY:termeq	What is another name for nearsightedness	en
HUM:ind	Who was the first black to be head coach of a major league pro sports team	en
ENTY:animal	How big is a snake?	en
ENTY:veh	What is a truck?	en
DESC:manner	In what manner do animals hunt?	en
NUM:period	How long does it take to become a doctor?	en
NUM:other	How often are quadruplets born	en
NUM:speed	How fast does the Moon orbit Earth?	en
ENTY:plant	What is a corn?	en
ENTY:termeq	Is joyful the same as happy?	en
NUM:count	What is the number of provinces of Canada?	en
DESC:reason	Why do skins itch?	en
DESC:reason	Why do hormones regulate?	en
DESC:manner	In what manner do sociologists survey?	en
ENTY:cremat	How are urns sealed?	en
HUM:title	Who wrote 1984?	en
ENTY:food	What do manatees eat	en
ENTY:lang	What is a language spoken by the Sioux	en
ENTY:sport	What sport do the Cleaveland Cavaliers play	en
NUM:money	What is the average house cost?	en
LOC:water	What is the Fjord called in Scandinavia?	en
ABBR:exp	What does MHL represent?	en
HUM:desc	Who is Nicolo Paganini	en
ENTY:dismed	What are the 10 plagues of Egypt	en
NUM:period	What is the average length of a TED talk?	en
NUM:count	How many states did Richard Nixon carry in 1972	en
HUM:desc	Who was Galileo	en
ABBR:abb	Define the abbreviation USB	en
ENTY:instru	What tool measures weight?	en
ENTY:instru	How many strings does a bouzouki have?	en
ENTY:food	What is nutmeg?	en
HUM:gr	What is a delegation?	en
NUM:count	What is the area in sq km of China?	en
LOC:city	What county is Modesto, California in	en
DESC:desc	Describe the Finnish music personality Salonens appearance	en
NUM:perc	What percent of the world is left-handed?	en
HUM:ind	Who was Homer?	en
ENTY:food	Where does cucumber come from?	en
ENTY:substance	What is a mirror made out of	en
ENTY:letter	What is a alphabet?	en
ABBR:abb	What does CEO stand for?	en
ENTY:veh	What is the cruise range of an electric Tesla on a full charge?	en
DESC:manner	How were the days of the week named	en
LOC:other	What building built in 18 contains 327 miles of book shelves	en
HUM:title	What is a Corporal?	en
ENTY:product	What is a bicycle made of?	en
ENTY:color	What color is purple?	en
HUM:desc	What does a tutor do?	en
NUM:code	What is the ASCII code for form feed?	en
DESC:manner	How did the months of the year get there name	en
NUM:date	On what day is Halloween?	en
ENTY:dismed	What is atorvastatin?	en
HUM:desc	What does a editor do?	en
ENTY:instru	What is a stethoscope?	en
ENTY:plant	What does a barley look like?	en
ENTY:veh	How many rotations does a tire make per mile?	en
ENTY:religion	What do Bahai Faith followers believe?	en
ENTY:dismed	For what disease is the drug Sinemet used as a treatment	en
DESC:reason	Why do animals hibernate?	en
ENTY:cremat	What is an ash dispersion?	en
NUM:code	What does error code E500 mean in web?	en
ENTY:animal	Name a tiger that is extinct	en
NUM:count	How many years of bad luck follow breaking a mirror	en
HUM:gr	Who used to make cars with rotary engines	en
ENTY:product	What is a computer made of?	en
ENTY:event	How are conventions managed?	en
NUM:other	How many cards in a deck?	en
ENTY:letter	What letter represents mercury on the periodic table?	en
HUM:title	Who composed Moonlight Sonata?	en
ENTY:religion	What is Sunni Islam?	en
NUM:other	How many words are in the English language?	en
ENTY:body	Where is the skeleton?	en
DESC:manner	How does ultraviolet light damage the DNA of skin cells	en
ENTY:sport	How is football played?	en
DESC:desc	How are landscapes described expansively?	en
ENTY:animal	What makes armor protective?	en
ABBR:abb	What is the meaning of FDA?	en
NUM:ord	What is the seventh book in the series?	en
ENTY:product	What car was driven in the 199 release of Smokey and the Bandit	en
ENTY:termeq	What is another word for dwelling starting with h?	en
NUM:speed	What is the speed of a satellite in orbit?	en
ENTY:religion	What religion is Shinto?	en
ENTY:instru	How do you use a flute?	en
DESC:desc	Describe Big Ben	en
ENTY:letter	What is the pronunciation of the letter W in English?	en
DESC:reason	What causes loneliness?	en
LOC:landmass	What continent has the Serengeti?	en
NUM:count	What is the number of states of Australia?	en
HUM:title	How does a mayor serve?	en
ENTY:other	What four forms does gold occur in	en
NUM:period	What is the age of the universe in billions of years?	en
NUM:dist	How far is New York from Barcelona?	en
ENTY:event	Tell me about the Cold War	en
DESC:manner	What is the way to plant a seed?	en
NUM:count	Count the languages	en
ENTY:termeq	What is a term equivalent to couch?	en
ENTY:other	What defines a cultural value?	en
ENTY:event	What was the name of Hitlers unsuccessful attempt to overthrow the Bavarian government in Munich in 1923	en
ENTY:body	How many breaths does a human take per minute?	en
LOC:landmass	How are deltas formed?	en
ENTY:food	Where does fish come from?	en
DESC:desc	How is peace described tranquilly?	en
ENTY:veh	What was the name of Robert Fultons most famous steamboat	en
ENTY:veh	What is the seating capacity of a charter bus?	en
DESC:def	How do illocutions function?	en
LOC:city	Tell me about Berlin	en
HUM:desc	Describe a typical director	en
ENTY:food	What meat complemented sweet potatoes and peas in the first TV dinner	en
DESC:desc	Tell me about the Statue of Liberty	en
NUM:period	How long is the average work week in the United States?	en
ABBR:abb	What does GPU stand for?	en
ENTY:color	How does trichrome work?	en
HUM:desc	What qualities define a hero?	en
ENTY:techmeth	What is a technique popularly used to detect birth defects	en
ENTY:symbol	What symbol denotes question mark?	en
ENTY:cremat	What was Mel Gibsons first movie	en
LOC:mount	What country has Mount Denali?	en
ENTY:animal	How big is a salmon?	en
ENTY:food	What is spinach?	en
NUM:dist	What is the distance between Earth and Moon?	en
ABBR:exp	What do the letters in VPN stand for?	en
HUM:ind	How does a writer contribute?	en
ENTY:other	What was George Washington afraid of	en
LOC:state	What province is Montreal in	en
HUM:title	What is a Consul?	en
NUM:count	What is the number of states of Russia?	en
ENTY:termeq	What is the colorful Korean traditional dress called	en
LOC:state	How are regions?	en
LOC:other	Where are diamonds mined	en
ENTY:body	What is the function of the eye?	en
NUM:date	When is the Sun closest to the Earth	en
ENTY:currency	What is the symbol for dollar?	en
LOC:mount	Where is Mount Blanc?	en
LOC:country	What country are you in if you woo in the Wu dialect	en
ENTY:body	What is the function of the finger?	en
HUM:title	What rank is Countess?	en
NUM:date	When did the Bounty mutiny take place	en
ENTY:animal	What predators exist on Antarctica	en
ENTY:cremat	What novel has Big Brother watching	en
NUM:count	How many liberty bells have there been	en
LOC:city	What U.S. city was named for St. Francis of Assisi	en
LOC:city	What makes a megacity a city?	en
LOC:state	What is the capital of Tennessee?	en
ABBR:abb	What does AI stand for?	en
NUM:weight	How much does the Great Pyramid of Giza weigh?	en
HUM:gr	What political party is Sinn Fein a part of	en
ENTY:food	Where does tuna come from?	en
LOC:other	Where does Ray Bradburys Chronicles take place	en
LOC:country	What country buys 25 percent of the worlds tea exports	en
ENTY:veh	What is the maximum grade a truck can climb safely?	en
DESC:def	What is home banking	en
ENTY:plant	What is a elm?	en
NUM:count	What is the area in sq km of Indonesia?	en
DESC:def	How does gendered language work?	en
ENTY:currency	How many rupees are in a dollar?	en
DESC:desc	What is the difference between fatalism and determinism	en
DESC:reason	What causes hurricanes?	en
ENTY:sport	What is archery?	en
LOC:state	What is the largest U.S. state east of the Mississippi	en
ENTY:other	What household facility contains a float ball, ballcock, and overflow tube	en
LOC:water	How are streams?	en
ENTY:plant	What is a squash?	en
ENTY:product	Which vacuum is cordless?	en
LOC:water	Where is the Yangtze River?	en
ENTY:instru	How do you use a fork?	en
ENTY:word	How many syllables does the word supercalifragilisticexpialidocious have?	en
HUM:title	What is a Senator?	en
LOC:water	On what river is Strasbourg built	en
ENTY:food	How are pigs?	en
ENTY:techmeth	What is embedding technology?	en
DESC:reason	What causes die-off?	en
DESC:desc	What is Compaqs mission statement	en
ENTY:plant	Which plant has the longest roots?	en
LOC:landmass	What is North America?	en
ENTY:other	Name of King Arthurs sword	en
ENTY:plant	Where do cactuss grow?	en
HUM:desc	What does a attorney do?	en
ENTY:food	Where does tea come from?	en
HUM:gr	What kind of company is 7-Eleven	en
DESC:manner	How can you get rust stains out of clothing	en
ABBR:exp	Spell out the acronym SSD	en
NUM:date	What year was the internet created?	en
HUM:desc	What is the role of a pharmacist?	en
LOC:country	How are alliances?	en
ENTY:substance	How is calcium important?	en
LOC:mount	What is the tallest mountain in North America?	en
ENTY:substance	What is bleach used for?	en
ENTY:word	What is a word that means its opposite?	en
ENTY:techmeth	How does vertical farming function?	en
DESC:desc	What adjectives describe flavor?	en
NUM:code	How does QR code work?	en
ENTY:product	What is a phone made of?	en
HUM:gr	Which oil company almost picked a word that meant stalled car in Japanese as its new international name	en
LOC:city	What is Vienna?	en
NUM:count	How many provinces does Canada have?	en
ENTY:termeq	How are meanings determined?	en
DESC:reason	Why do recipe books recommend starting with cold water when you boil something	en
ENTY:food	What condiment do the Dutch dip their French fries in	en
ENTY:body	What does the eye do?	en
ENTY:body	What does the leg do?	en
ABBR:abb	What does kB store?	en
ABBR:exp	CTO is the abbreviation for what?	en
ENTY:religion	What is Druidry?	en
ENTY:animal	What is a wildebeest?	en
ENTY:product	What do you use a camera for?	en
ENTY:event	Tell me about the Dark Ages	en
ENTY:event	What was the 2016 presidential election?	en
ENTY:cremat	What novel did Ian Fleming introduce James Bond in	en
HUM:title	What rank is Archbishop?	en
ENTY:lang	What language is spoken in Bulgaria?	en
DESC:desc	What is the difference between molecules and compounds	en
NUM:date	What is Dick Clarks birthday	en
HUM:title	How does a director lead?	en
ENTY:symbol	What symbol do you think is the most difficult to learn	en
ENTY:veh	What is a cherry picker?	en
NUM:temp	What temperature does water freeze at?	en
LOC:state	Where is Missouri?	en
DESC:def	How do creoles develop?	en
HUM:title	What rank is Judge?	en
ABBR:abb	What is the abbreviation of General Motors	en
NUM:other	What is the number of deserts?	en
NUM:perc	What percentage of the Amazon rainforest remains undiscovered?	en
ENTY:termeq	What do you call a date that contains sequencing numbers, like 9-8-98	en
DESC:manner	How can I find out which cities have cable-modem access	en
NUM:weight	How much does a golf ball weigh?	en
LOC:water	How salty is the Persian Gulf?	en
ENTY:animal	How do animals think?	en
ENTY:event	What is considered the costliest disaster the insurance industry has ever faced	en
ENTY:religion	In what religion was Isis the nature goddess	en
ENTY:food	What powdered soft drink mix went into space	en
NUM:other	What was Einsteins IQ	en
ENTY:plant	What does a algae look like?	en
ENTY:substance	What is ammonia used for?	en
ENTY:symbol	How is the = symbol used?	en
HUM:desc	How does a pulmonologist study lungs?	en
NUM:perc	What percentage of the population stutters?	en
DESC:desc	Tell me about Niagara Falls	en
DESC:manner	How did former WWF wrestler Rick Rude die	en
LOC:city	What city was President William McKinley shot in	en
ABBR:abb	URL abbreviates what?	en
ENTY:color	What color is cyan?	en
NUM:code	What is the octal code for symbol @?	en
LOC:landmass	What Will Earths Next Supercontinent Be	en
ENTY:cremat	What oldtime kids fare did TV Guide writer Jeff Greenfield call one of the most...subversive TV shows in American history	en
DESC:def	How would you define synecdoche?	en
ENTY:body	What does the intestine do?	en
NUM:perc	What percentage of people are estimated to be naturally ambidextrous?	en
LOC:city	Where is Singapore?	en
HUM:desc	Who was William Henry Harrison	en
NUM:volsize	What is the volume of the ocean?	en
ENTY:techmeth	What is quantum computing?	en
HUM:ind	Tell me about Alexander the Great	en
HUM:gr	What organization was founded by the Rev. Jerry Falwell	en
ENTY:veh	How does a sailboat work?	en
ENTY:substance	What are the properties of plastic?	en
ENTY:sport	In which sport is there a scrum	en
HUM:gr	What is a nobility?	en
ENTY:termeq	What is the name of the Islamic counterpart to the Red Cross	en
ENTY:dismed	What is the worlds deadliest infectious disease	en
DESC:reason	Explain why we have hiccups	en
ENTY:instru	How do you use a thermometer?	en
NUM:ord	What is the fifth book in the series?	en
ENTY:animal	How do animals flee?	en
NUM:weight	How much does a pound of butter weigh in grams?	en
DESC:desc	What is the origin of the word Teddy bear	en
ENTY:sport	What are the rules of gymnastics?	en
ABBR:exp	Write out GPU in full	en
LOC:landmass	the continent we now know as North America was continuous with Africa, South America, and Europe. They all existed as a single continent named what	en
NUM:volsize	How big is a standard door?	en
ABBR:exp	Write out CPU in full	en
ABBR:exp	What does NAM expand to?	en
ENTY:food	What is butter?	en
ENTY:cremat	Name the four stories contained in Edith Whartons Old New York	en
NUM:dist	How long is the Columbia River in miles	en
ENTY:animal	What is Smokey The Bears middle name	en
ENTY:instru	How do you use a knife?	en
ENTY:lang	What is French known for?	en
ENTY:food	What is a staple?	en
ENTY:veh	How many gears does a typical automatic transmission have?	en
ABBR:abb	What does AIDS stand for?	en
LOC:state	Where is New Jersey?	en
DESC:manner	In what manner do physicists experiment?	en
ENTY:other	What is the lowest level of the American judiciary	en
ENTY:word	How many synonyms does the word happy have?	en
DESC:manner	How do performers act?	en
NUM:weight	How much does a water bottle weigh when full?	en
ENTY:religion	what is called the religion of peace	en
LOC:city	How are boroughs organized?	en
DESC:desc	What conveys tension?	en
ENTY:product	What do you use a refrigerator for?	en
DESC:desc	What is the origin of the word, JJ	en
ENTY:sport	How is cycling played?	en
HUM:title	What is the role of a Senator?	en
ENTY:termeq	How is language used contextually?	en
LOC:mount	How high is Mount Rainier?	en
ENTY:veh	What Nantucket shipwreck killed more divers exploring it than the 52 people it sank with	en
ENTY:religion	What is Calvinism?	en
DESC:manner	How do you plant a seed?	en
ENTY:body	What is the bone?	en
ABBR:exp	What does VNM stand for?	en
HUM:ind	Who did Richard Nixon tender his resignation to	en
ENTY:lang	Which language is spoken in Greece?	en
NUM:date	When does the Bible say the seasons started	en
ENTY:substance	What is aluminum?	en
NUM:period	How many hours is a professional sports game?	en
LOC:country	What continent is Egypt in?	en
NUM:perc	What percentage of the brain controls the body?	en
ENTY:food	What is Apple?	en
ENTY:symbol	What is the crescent symbol?	en
NUM:perc	What percentage of the population is right-handed?	en
LOC:landmass	What is a caldera?	en
ENTY:currency	What is the symbol for pound?	en
ENTY:food	What food did Marco Polo introduce into Italy from the court of Kubla Khan	en
NUM:dist	How tall is the Matterhorn	en
HUM:desc	What does a archaeologist do?	en
ENTY:event	What was World War I?	en
LOC:landmass	What is Java?	en
NUM:volsize	How much water does the Great Lakes contain collectively?	en
ENTY:veh	What is the fuel injection pressure in modern engines?	en
DESC:def	How does feedback function?	en
ENTY:dismed	How does immunity develop?	en
LOC:mount	Name the highest mountain	en
ENTY:veh	What is the maximum towing capacity of a standard Ford F-150 pickup truck?	en
DESC:reason	Why does tuberculosis afflict people	en
ENTY:symbol	What is the copyright symbol symbol?	en
ENTY:product	What shampoo prevents eczema, seborrhea, and psoriasis	en
LOC:other	What airport is on the Piccadilly subway line	en
ENTY:color	What is hue?	en
LOC:other	What is the U.S. location of Procter & Gamble corporate offices	en
HUM:gr	What do we call nobility?	en
HUM:desc	Who is Barbara Jordan	en
HUM:desc	What is a biologist?	en
ENTY:other	What constitutes a cultural practice?	en
ENTY:dismed	How are antibiotics used?	en
DESC:def	How is syntax different from grammar?	en
DESC:def	What does extended definition mean and how would one write a paper on it	en
LOC:water	How salty is the Gulf of Mexico?	en
NUM:perc	What percentage of Earths ozone layer has been depleted?	en
DESC:def	What is person deixis?	en
NUM:money	What is the starting salary of a radiographer	en
NUM:period	How old was George Washington when he died	en
LOC:city	Tell me about London	en
ENTY:animal	How big is a panda?	en
ENTY:color	What color is scarlet?	en
ENTY:dismed	What causes obesity?	en
HUM:gr	Who are the baby boomers?	en
DESC:reason	What is the reason we yawn?	en
ENTY:food	How do bulbs form?	en
ENTY:dismed	What disease did August von Wassermann develop a specific test for in 196	en
ENTY:currency	Which country uses the zloty?	en
ABBR:exp	What does ARM stand for?	en
ABBR:exp	What is HTML	en
ENTY:letter	what vowel do female names usually end with in spanish	en
HUM:desc	How are surgeons?	en
ENTY:cremat	What film did Louise Fletcher win the best actress Oscar for	en
ENTY:food	What is herring?	en
ABBR:exp	What do the letters in OLED stand for?	en
ENTY:other	What was cash-conscious Colonel Edwin L. Drake the first to drill	en
LOC:state	What state has the least amount of rain per year	en
ABBR:exp	What does WSM expand to?	en
DESC:reason	What causes corruption?	en
ENTY:body	How many types of blood cells exist?	en
LOC:landmass	What continent is Egypt on	en
HUM:title	What is a King?	en
ENTY:cremat	What was Connecticuts first constitution called	en
ABBR:exp	What does UN expand to?	en
ABBR:abb	What does pH stand for?	en
NUM:count	How many animals are there?	en
DESC:def	What do we mean by gravity?	en
DESC:reason	Why is black the color of mourning in the West	en
HUM:gr	Who are the employees?	en
ENTY:color	What color are the castellated walls of the Kremlin	en
DESC:desc	How is poverty described austerely?	en
ENTY:animal	What creature is the absolute fastest in moving in the world, birds, mammals, etc.,	en
ENTY:termeq	What is a term equivalent to loud?	en
LOC:state	What is the capital of Nevada?	en
ENTY:body	What is the largest internal organ of the human body	en
ENTY:other	Whats destroyed in Genesis 19 24	en
DESC:desc	What conveys temporal atmosphere?	en
NUM:perc	What percentage of oxygen is in air?	en
LOC:landmass	What is Honshu?	en
ENTY:dismed	What is a fear of home surroundings	en
NUM:count	How much of the silver production is manufactured by independent silversmiths	en
ABBR:abb	What does UX stand for?	en
NUM:weight	What is the total weight of all humans currently alive?	en
ENTY:food	How are mollusks?	en
HUM:desc	How does a accountant work?	en
ENTY:color	What color were their horses	en
HUM:gr	What is a believers?	en
ENTY:body	What does the kidney do?	en
ENTY:letter	How many letters does the Finnish alphabet have?	en
ENTY:animal	How do animals orientate?	en
DESC:reason	Explain why we dream	en
NUM:speed	How fast is alcohol absorbed	en
DESC:reason	What causes tears?	en
