label	question	answer	lang
ENTY:religion	Describe the name of the ethical and philosophical system that is the foundation of traditional Chinese society.	Confucianism.	en
ENTY:religion	Describe the name of the ethical system that is the foundation of Chinese society.	Confucianism.	en
ENTY:product	Describe the name of the flagship gaming console released by Sony in 2020.	The PlayStation 5.	en
LOC:landmass	Describe the name of the frozen landmass that surrounds the North Pole.	The Arctic.	en
HUM:gr	Describe the name of the group led by Genghis Khan in the 13th century.	The Mongol Hordes.	en
HUM:gr	Describe the name of the group that was led by Genghis Khan in the 13th century.	The Mongol Hordes.	en
ENTY:sport	Describe the name of the gymnastics apparatus used by women for balance.	The balance beam.	en
HUM:ind	Describe the name of the historical figure who led the French army at age 17.	Joan of Arc.	en
ENTY:product	Describe the name of the imaging software developed by Adobe for professional photographers.	Photoshop.	en
LOC:landmass	Describe the name of the island that contains the cities of Belfast and Dublin.	Ireland.	en
LOC:landmass	Describe the name of the island that is the home of the city of Tokyo.	Honshu.	en
LOC:landmass	Describe the name of the landmass that is the most northern part of Russia.	Siberia.	en
ENTY:lang	Describe the name of the language family that includes Hindi and Urdu.	Indo-Aryan.	en
LOC:water	Describe the name of the large bay on the eastern coast of India.	The Bay of Bengal.	en
LOC:landmass	Describe the name of the massive island country that is also considered a continent.	Australia.	en
ENTY:substance	Describe the name of the material for the first transistors.	Germanium.	en
ENTY:substance	Describe the name of the material used to create the first semiconductors in the electronics industry.	Germanium.	en
ENTY:symbol	Describe the name of the mathematical symbol used to represent a square root operation.	The radical sign.	en
ENTY:substance	Describe the name of the metamorphic rock from limestone.	Marble.	en
ENTY:techmeth	Describe the name of the method for mass-producing steel metal.	Bessemer process.	en
ENTY:techmeth	Describe the name of the method used to mass-produce steel by blowing air through molten iron.	The Bessemer process.	en
ENTY:religion	Describe the name of the modern religious movement focused on the mind.	Scientology.	en
ENTY:religion	Describe the name of the modern religious movement that centers on the study and auditing of the mind.	Scientology.	en
ENTY:religion	Describe the name of the modern religious movement that centers on the study and the auditing of the mind.	Scientology.	en
LOC:mount	Describe the name of the mountain in Washington state that is a major hazard.	Mount Rainier.	en
LOC:mount	Describe the name of the mountain range located in the eastern part of India.	The Eastern Ghats.	en
LOC:mount	Describe the name of the mountain range that contains the famous Khyber Pass.	The Hindu Kush.	en
LOC:mount	Describe the name of the mountain system that includes the peak of Nanga Parbat.	The Himalayas.	en
ENTY:religion	Describe the name of the mystical branch of Islam focused on internal truth.	Sufism.	en
LOC:water	Describe the name of the ocean that surrounds the continent of Antarctica.	The Southern Ocean.	en
LOC:landmass	Describe the name of the peninsula that contains the countries of Norway and Sweden.	The Scandinavian Peninsula.	en
ENTY:substance	Describe the name of the primary ingredient in glass manufacturing.	Silica.	en
ENTY:techmeth	Describe the name of the process to treat rubber with sulfur.	Vulcanization.	en
ENTY:techmeth	Describe the name of the process used to treat natural rubber with sulfur to make it more durable.	Vulcanization.	en
ENTY:product	Describe the name of the professional diving watch produced by the brand Rolex.	The Submariner.	en
LOC:state	Describe the name of the province in China where the city of Wuhan is.	Hubei.	en
LOC:state	Describe the name of the province in the Netherlands that contains Amsterdam.	North Holland.	en
LOC:state	Describe the name of the region in France that is famous for its wine.	Bordeaux/Aquitaine.	en
LOC:state	Describe the name of the region in Italy that is the center of the fashion industry.	Lombardy.	en
LOC:water	Describe the name of the river that flows through the city of Cairo.	The Nile.	en
ENTY:sport	Describe the name of the rugby version that uses thirteen players.	Rugby league.	en
ENTY:product	Describe the name of the spacecraft designed by SpaceX to carry people to the ISS.	The Crew Dragon.	en
ENTY:sport	Describe the name of the sport played on a grass court with a yellow ball.	Tennis.	en
ENTY:sport	Describe the name of the sport traditionally played on a beach.	Volleyball.	en
ENTY:sport	Describe the name of the sport with a pitcher and a diamond.	Baseball.	en
LOC:state	Describe the name of the state in Australia that contains the city of Darwin.	Northern Territory.	en
LOC:state	Describe the name of the state in Australia that is home to the city of Perth.	Western Australia.	en
LOC:state	Describe the name of the state in India that is famous for its backwaters.	Kerala.	en
LOC:state	Describe the name of the state in the US that is the leading producer of oil.	Texas.	en
LOC:water	Describe the name of the strait that separates Russia from Alaska.	The Bering Strait.	en
ENTY:symbol	Describe the name of the symbol used for the at-sign in email addresses.	The ampersat.	en
ENTY:substance	Describe the name of the synthetic material for bulletproof vests.	Kevlar.	en
ENTY:veh	Describe the name of the traditional Polynesian boat that uses two hulls for stability in the ocean.	A Catamaran.	en
ENTY:veh	Describe the name of the traditional Polynesian boat with two hulls.	A Catamaran.	en
ENTY:substance	Describe the name of the volcanic glass known as frozen smoke.	Obsidian.	en
DESC:desc	Describe the nature of a high-altitude mountain climate in winter.	Thin air, freezing temperatures, and heavy snow.	en
DESC:desc	Describe the nature of a total solar eclipse event.	The moon blocks the sun creating darkness.	en
ENTY:termeq	Describe the nautical term for the 'left side' of a ship in motion.	Port.	en
ENTY:termeq	Describe the nautical term for the 'left side' of a ship when facing forward.	Port.	en
HUM:gr	Describe the nomadic people who live in the Sahara desert today.	The Tuareg.	en
LOC:country	Describe the Nordic country that is known for its many fjords.	Norway.	en
NUM:count	Describe the number of distinct time zones currently used in Russia.	Eleven.	en
NUM:count	Describe the number of human heart chambers and their count.	Four.	en
NUM:count	Describe the number of hydrogen atoms in a single molecule of methane.	Four.	en
NUM:count	Describe the number of points on a standard compass rose symbol.	Four.	en
NUM:count	Describe the number of sides on a standard hexagonal nut.	Six.	en
NUM:count	Describe the number of sides on a standard stop sign on the road.	Eight.	en
NUM:count	Describe the number of strings on a standard orchestral cello.	Four.	en
NUM:count	Describe the number of time zones that are used in the country of Canada.	Six.	en
LOC:water	Describe the ocean that is located to the east of the coast of the United States.	The Atlantic.	en
LOC:water	Describe the ocean that is located to the east of the United States.	The Atlantic.	en
ENTY:body	Describe the organ that produces bile to aid in the digestion of fats.	The liver.	en
ENTY:body	Describe the organ that produces insulin to regulate blood sugar.	The pancreas.	en
ENTY:body	Describe the part of the ear that captures sound waves from the air.	The pinna.	en
ENTY:body	Describe the part of the kidney that serves as the basic functional unit.	The nephron.	en
HUM:gr	Describe the people who were the inhabitants of the Aztec Empire.	The Aztecs.	en
ENTY:instru	Describe the percussion instrument made of a set of tuned wooden bars.	The xylophone.	en
ENTY:instru	Describe the percussion instrument made of tuned wooden bars.	The xylophone.	en
HUM:ind	Describe the person who is known as the 'Father of Modern Physics'.	Galileo Galilei.	en
HUM:ind	Describe the person who is the head of the Catholic Church in Rome.	Pope Francis.	en
ENTY:plant	Describe the plant that produces the small, edible green pods used in okra dishes.	The Okra plant.	en
ENTY:plant	Describe the plant that produces the small, edible green pods used in okra.	The Okra plant.	en
NUM:ord	Describe the position of the thirteenth amendment in the US Constitution.	13th.	en
HUM:title	Describe the primary title of the person who manages a corporation.	CEO.	en
HUM:title	Describe the primary title of the person who manages a global corporation.	CEO.	en
DESC:manner	Describe the procedure for a professional engine oil change.	Drain the old oil and replace the oil filter unit.	en
DESC:manner	Describe the procedure for a professional oil change car.	Drain old oil and replace the engine filter.	en
DESC:manner	Describe the process of 'solar salt extraction' from seawater in large-scale coastal salt pans.	Natural evaporation of seawater until salt crystals form.	en
DESC:manner	Describe the process of 'solar salt extraction' from seawater in large-scale salt pans.	Natural evaporation of seawater until crystals form.	en
DESC:manner	Describe the process of making artisanal dark chocolate home.	Grinding cacao nibs with sugar for hours.	en
DESC:manner	Describe the process of making traditional hand-pulled noodles.	Repeatedly stretching and folding the dough into strands.	en
DESC:manner	Describe the process of manufacturing a standard lithium-ion battery in a modern factory setting.	Coating electrodes, assembly, and adding electrolyte fluid.	en
DESC:manner	Describe the process of manufacturing a standard lithium-ion battery in a modern factory.	Assembling electrodes and adding electrolyte fluid.	en
ENTY:product	Describe the product known as the 'Post-it Note' and the company that developed it.	3M.	en
ENTY:product	Describe the product known as the 'Post-it Note' and which company originally developed it.	3M.	en
ENTY:color	Describe the psychological effects associated with the color red in art.	Red.	en
ENTY:color	Describe the psychological effects associated with the color red.	Red.	en
NUM:ord	Describe the rank of the Burj Khalifa among the world's tallest buildings.	First.	en
DESC:reason	Describe the reasons for the decline of the Roman Empire in history.	Economic instability, military overexpansion, and external invasions.	en
DESC:reason	Describe the reasons for the decline of the Roman Empire.	Political corruption, inflation, and invasions.	en
DESC:reason	Describe the reasons why the invention of the printing press by Gutenberg led to a massive increase in literacy rates across Europe during the Renaissance.	Books became cheaper and more accessible, encouraging people to learn to read.	en
DESC:reason	Describe the reasons why the invention of the printing press led to a massive increase in literacy.	Lower cost of books made reading accessible to all.	en
HUM:desc	Describe the responsibilities of a modern pharmacologist in a lab.	Studying the effects of drugs and developing new medicines.	en
LOC:water	Describe the river that flows through the heart of the city of London in the UK.	The Thames.	en
LOC:water	Describe the river that flows through the heart of the city of London.	The Thames.	en
HUM:desc	Describe the role of a crisis negotiator, focusing on psychological techniques.	Building rapport and de-escalating tension during crises.	en
HUM:desc	Describe the role of a crisis negotiator, focusing on the psychological techniques they use for safety.	Building rapport and de-escalating tension during crises.	en
HUM:desc	Describe the role of a forest firefighter during a wildfire.	Containing fires and protecting homes and wildlife.	en
HUM:ind	Describe the role of the person who founded the company Amazon.	Jeff Bezos.	en
ENTY:letter	Describe the shape of the mathematical letter known as infinity.	∞.	en
ENTY:lang	Describe the Slavic language that uses the Cyrillic alphabet in Russia.	Russian.	en
ENTY:instru	Describe the small, four-stringed guitar-like instrument from Hawaii.	The ukulele.	en
ENTY:food	Describe the small, round French almond-based confection.	Macaron.	en
HUM:title	Describe the specialized title of the person who is the leading spokesperson on public health.	Surgeon General.	en
ENTY:letter	Describe the specific letter used in musical notation for 'treble clef'.	G.	en
ENTY:letter	Describe the specific letter used in musical notation to indicate the 'treble clef'.	G.	en
ENTY:food	Describe the spicy paste used in North African harissa dishes.	Harissa.	en
ENTY:sport	Describe the sport of baseball and name the position of the player who throws the ball.	The pitcher.	en
ENTY:sport	Describe the sport of fencing and name one of the three weapons.	The foil.	en
ENTY:sport	Describe the sport of fencing and name the three weapons used.	Foil, epee, and sabre.	en
ENTY:sport	Describe the sport of gymnastics and name one of the apparatus used by women.	The balance beam.	en
ENTY:sport	Describe the sport of rugby and explain the primary difference between the Union and League versions.	Rugby union and rugby league.	en
ENTY:sport	Describe the sport of volleyball and mention where it is traditionally played.	On a beach or indoor court.	en
ENTY:sport	Describe the sport that is played on a grass court with a yellow ball.	Tennis.	en
NUM:money	Describe the starting salary for a software architect at a major firm.	80,000.	en
ENTY:substance	Describe the substance that is the primary ingredient in glass manufacturing.	Silica sand.	en
ENTY:symbol	Describe the symbol known as the 'Skull and Crossbones' and its primary historical use.	A warning for poison.	en
ENTY:symbol	Describe the symbol known as the 'Skull and Crossbones' and its use.	A warning for poison.	en
ENTY:symbol	Describe the symbol used to represent a hazardous biological material.	The Biohazard symbol.	en
ENTY:substance	Describe the synthetic material used to make bulletproof vests.	Kevlar.	en
ENTY:techmeth	Describe the tech in self-driving cars for distance measurement.	LIDAR.	en
ENTY:termeq	Describe the technical term for being 'nearsighted' in optometry.	Myopia.	en
ENTY:techmeth	Describe the technology used in self-driving cars to measure distance with lasers.	LIDAR.	en
NUM:temp	Describe the temperature of an active lava flow.	1,100 degrees Celsius.	en
ENTY:termeq	Describe the term used in the UK for a 'car hood' in automotive terms.	Bonnet.	en
ENTY:termeq	Describe the term used in the UK for a 'car hood' in automotive.	Bonnet.	en
ABBR:abb	Describe the three-letter acronym used to identify the Consumer Price Index to track national inflation.	CPI	en
ABBR:abb	Describe the three-letter acronym used to identify the Consumer Price Index used to track global inflation.	CPI	en
NUM:money	Describe the total financial investment required to develop a new drug.	.6 billion.	en
NUM:money	Describe the total financial investment required to develop a new mRNA vaccine.	billion.	en
ENTY:instru	Describe the traditional African instrument made of a hollow gourd and metal keys.	The mbira.	en
ENTY:plant	Describe the tree known as the 'Baobab' and explain which continent it is native to today.	The Baobab tree.	en
ENTY:plant	Describe the tree known as the 'Baobab' and mention which continent it is native to.	The Baobab tree.	en
ENTY:plant	Describe the tree that produces the acorns eaten by forest animals.	The Oak tree.	en
ENTY:plant	Describe the tree that produces the acorns eaten by many forest animals.	The Oak tree.	en
ENTY:food	Describe the Turkish delight confection that is flavored with rosewater or lemon.	Lokum.	en
ENTY:veh	Describe the type of aircraft that can take off and land vertically like a bird.	A VTOL aircraft.	en
ENTY:other	Describe the type of bond that is formed between two atoms through the sharing of electrons in a molecule.	A covalent bond.	en
ENTY:other	Describe the type of bond that is formed between two atoms through the sharing of electrons.	A covalent bond.	en
ENTY:food	Describe the type of cured ham that is a famous specialty of the Parma region.	Prosciutto.	en
ENTY:other	Describe the type of heat transfer that occurs through the direct contact of two solid surfaces.	Conduction.	en
ENTY:other	Describe the type of heat transfer that occurs through the direct contact of two surfaces.	Conduction.	en
ENTY:other	Describe the type of insurance that covers the cost of medical expenses for a person or family.	Health insurance.	en
ENTY:other	Describe the type of insurance that covers the cost of medical expenses for a person.	Health insurance.	en
ENTY:other	Describe the type of light that is invisible to the human eye but can cause sunburn on the skin.	Ultraviolet light.	en
ENTY:other	Describe the type of light that is invisible to the human eye but can cause sunburn.	Ultraviolet light.	en
ENTY:veh	Describe the type of motorcycle that is designed for long-distance touring on highways.	A Cruiser.	en
ENTY:other	Describe the type of software that allows a user to browse the vast world wide web today.	A web browser.	en
ENTY:other	Describe the type of software that allows a user to browse the world wide web.	A web browser.	en
ENTY:veh	Describe the type of vehicle that uses a cushion of air to travel over water.	A Hovercraft.	en
DESC:desc	Describe the typical career path of a diplomat today.	Serving in embassies and managing relations.	en
HUM:desc	Describe the typical day of a master sushi chef in Tokyo.	Sourcing fresh fish and preparing traditional Japanese dishes.	en
DESC:desc	Describe the typical day of a master sushi chef.	Sourcing fish and preparing traditional dishes.	en
DESC:desc	Describe the typical day of a researcher in a marine laboratory.	Collecting water samples and analyzing ocean data.	en
DESC:desc	Describe the typical personality of a domestic golden retriever dog.	Friendly, loyal, and eager to please the owner.	en
LOC:city	Describe the US city that is known for its steep hills and cable cars.	San Francisco.	en
NUM:other	Describe the value of the Boltzmann constant relating energy and temperature values.	1.380649 x 10^-23 J/K.	en
NUM:other	Describe the value of the Boltzmann constant relating energy and temperature.	1.380649 x 10^-23.	en
ENTY:veh	Describe the vehicle that uses a cushion of air over water and land.	A Hovercraft.	en
ENTY:veh	Describe the vehicle used by astronauts to move around the Moon's surface.	The Lunar Roving Vehicle.	en
ENTY:veh	Describe the vehicle used by astronauts to move around the surface of the Moon.	The Lunar Roving Vehicle.	en
ENTY:substance	Describe the volcanic substance that is often called 'frozen smoke' or glass.	Obsidian.	en
NUM:weight	Describe the weight of a professional concert grand piano in pounds or kilograms.	500 kilograms on average.	en
NUM:weight	Describe the weight of a typical laptop computer in the lightweight category today.	Two to three pounds.	en
NUM:weight	Describe the weight of the Burj Khalifa building in Dubai and the weight of the concrete used.	330,000 cubic meters.	en
ENTY:food	Describe the white, spongy cake made without egg yolks or fat.	Angel food cake.	en
NUM:dist	Describe the width of the Grand Canyon at its widest point.	29 km.	en
DESC:desc	Describe the work of a professional lighting designer in a modern theater production.	Using color and shadow to create mood on a stage.	en
HUM:desc	Describe the work of a professional storyboard artist for a film.	Creating a series of sketches that map out the film's flow.	en
DESC:desc	Describe the work of a professional storyboard artist in the animation industry.	Visualizing scenes for a film production.	en
HUM:desc	Describe the work of a professional storyboard artist, explaining how they translate a script into visuals.	Creating a series of sketches that map out the film's flow.	en
DESC:desc	Describe the work performed by a master furniture restorer today.	Repairing and refinishing antique wooden pieces.	en
DESC:desc	Describe the work performed by a professional sound engineer.	Mixing and recording audio for various media.	en
DESC:desc	Describe the work performed by a traditional landscape painter today.	Capturing natural scenes with oils or watercolors.	en
DESC:desc	Describe the work performed by a traditional violin luthier.	Hand-carving and repairing string instruments.	en
HUM:desc	Describe the work performed by an expert ethical hacker today.	Testing computer systems to find and fix vulnerabilities.	en
NUM:date	Describe the year the first practical steam engine was patented.	1769.	en
NUM:date	Describe the year the printing press was invented by Gutenberg.	1440.	en
ABBR:exp	Describe what the acronym HTML stands for in the context of web development.	HyperText Markup Language	en
ABBR:exp	Describe what the letters GPS represent in the context of navigation technology.	Global Positioning System	en
DESC:reason	Describe why honey does not spoil even over thousands of years.	High sugar concentration and low water content.	en
NUM:code	Description of VIN format?	17 characters.	en
HUM:desc	Detective?	An investigator who solves crimes and finds evidence.	en
ENTY:body	Detox organ?	The liver.	en
ENTY:color	Digital image processing relies on color spaces; provide the name for the primary print space.	CMYK.	en
ENTY:symbol	Direct current sign?	The DC symbol.	en
ENTY:other	Discovery type?	The Rosetta Stone.	en
NUM:dist	Distance to the Moon?	384,400 kilometers.	en
NUM:dist	Distance to the Sun?	150 million km.	en
ENTY:other	DNA shape?	The double helix.	en
BOOL:yesno	Do all insects have six legs according to biological standards?	Yes.	en
BOOL:yesno	Do all known living organisms on the planet Earth utilize DNA as their primary genetic material?	Yes.	en
BOOL:yesno	Do all mammals lay eggs to reproduce?	No.	en
BOOL:yesno	Do all plants require sunlight for their growth cycle?	Yes.	en
BOOL:yesno	Do bats use sonar to navigate in the dark?	Yes.	en
BOOL:yesno	Do dogs bark?	Yes.	en
BOOL:yesno	Do fish breathe?	Yes.	en
BOOL:yesno	Do honey bees communicate through a complex dance?	Yes.	en
BOOL:yesno	Do penguins live in the northern hemisphere?	No.	en
BOOL:yesno	Do plants produce oxygen during photosynthesis?	Yes.	en
BOOL:yesno	Do snakes walk?	No.	en
BOOL:yesno	Do stars shine?	Yes.	en
BOOL:yesno	Does the Earth revolve around the Sun annually?	Yes.	en
BOOL:yesno	Does the Moon orbit the Earth every month?	Yes.	en
NUM:period	Dog sleep?	12 hours.	en
NUM:money	Dollar cost?	.20.	en
ENTY:symbol	Dollar sign?	The $ sign.	en
ENTY:veh	Drone type?	A Quadcopter.	en
ENTY:instru	Drum kit?	The snare drum.	en
NUM:temp	Dry ice?	-78 degrees Celsius.	en
NUM:period	Duration of WWII?	Six years.	en
ENTY:product	Dyson vacuum?	Dyson.	en
NUM:code	EAN-13 barcode length?	13 digits.	en
ENTY:body	Ear drum?	The tympanic membrane.	en
NUM:other	Earth g?	9.8 m/s^2.	en
NUM:weight	Earth mass?	5.97 x 10^24 kg.	en
NUM:speed	Earth spin?	1,600 km/h.	en
NUM:volsize	Earth volume?	1 trillion cubic km.	en
NUM:dist	Earth wide?	12,742 km.	en
NUM:volsize	Earth's volume?	1 trillion cubic km.	en
LOC:country	Egypt place?	Egypt.	en
NUM:dist	Eiffel tall?	330 meters.	en
DESC:desc	Eiffel Tower?	A massive iron lattice tower in Paris.	en
NUM:ord	Eighth King?	Henry VIII.	en
HUM:ind	Einstein role?	Albert Einstein.	en
HUM:ind	Einstein's role?	Albert Einstein.	en
ENTY:veh	Electric car?	The Tesla Model 3.	en
NUM:other	Electron m?	9.1 x 10^-31 kg.	en
ENTY:animal	Elephant ears?	The African Bush Elephant.	en
ENTY:symbol	Email at-sign name?	The ampersat.	en
ENTY:letter	End of Greek?	Ω.	en
ENTY:event	End of WWII?	The surrender of Japan.	en
ENTY:termeq	English has many terms for the same object by region; provide the UK name for a 'flashlight'.	Torch.	en
ENTY:termeq	English has many terms for the same object; provide the UK name for 'flashlight'.	Torch.	en
ENTY:letter	English vowel?	A.	en
ENTY:currency	EU currency?	Euro.	en
NUM:other	Euler e?	2.718.	en
NUM:other	Euler's e?	2.71828.	en
ENTY:currency	Euro symbol?	The Euro.	en
LOC:country	European Union country in the center?	Germany.	en
NUM:dist	Everest high?	8,848 meters.	en
LOC:mount	Everest location?	Nepal/China.	en
LOC:mount	Everest range?	The Himalayas.	en
ENTY:body	Eye retina?	The retina.	en
NUM:speed	F1 speed?	230 mph.	en
ENTY:other	Fabric name?	Polyester.	en
HUM:title	Faith defender?	The Sovereign.	en
ENTY:animal	Falcon speed?	The Peregrine Falcon.	en
ENTY:termeq	Fast synonym?	Rapid.	en
ENTY:termeq	Fast word?	Rapid.	en
ENTY:animal	Fastest land animal?	The Cheetah.	en
ABBR:exp	FBI expansion?	Federal Bureau of Investigation	en
ABBR:abb	FBI shorthand?	FBI	en
ABBR:exp	FBI stands for?	Federal Bureau of Investigation	en
LOC:country	Federal republic in North America?	The USA.	en
ENTY:plant	Fern spores?	The Fern.	en
NUM:ord	Fifth state?	Connecticut.	en
ENTY:symbol	File folder icon name?	The Folder icon.	en
ENTY:body	Filter organ?	The kidneys.	en
NUM:money	Fine amount?	00.	en
NUM:other	Fine-structure?	1/137.	en
LOC:other	Finish line?	The end of the track.	en
ENTY:lang	Finnish family?	Finnish.	en
DESC:desc	Fire feel?	Intensely hot with flickering orange flames.	en
ENTY:color	Fire orange?	Amber.	en
NUM:ord	First King?	William the Conqueror.	en
NUM:ord	First planet?	Mercury.	en
ENTY:letter	First vowel?	A.	en
HUM:title	Five-star rank?	General of the Army.	en
DESC:manner	Fix floor?	Pull up old tiles and lay down new ones.	en
DESC:manner	Fix leak?	Turn off water and replace the damaged seal.	en
NUM:period	Flight time?	Six hours.	en
LOC:state	Florida coast?	Florida.	en
LOC:state	Florida land?	The United States.	en
ENTY:instru	Flute parts?	The headjoint.	en
HUM:desc	Forensic role?	A doctor who studies causes of death.	en
NUM:perc	Forest cover?	Thirty-one percent.	en
ENTY:instru	Four string bow?	The violin.	en
NUM:ord	Fourth book?	Goblet of Fire.	en
ENTY:currency	Franc country?	The Swiss Franc.	en
LOC:country	France where?	France.	en
ENTY:food	French long bread?	Baguette.	en
NUM:date	French Rev?	1789.	en
ENTY:event	French Revolution start?	The storming of the Bastille.	en
NUM:date	French Revolution?	1789.	en
ENTY:lang	French words?	French.	en
LOC:mount	Fuji country?	Mount Fuji.	en
NUM:code	Full SWIFT for HSBC London?	HBUSUKL2.	en
NUM:volsize	Gallons in tank?	50 gallons.	en
LOC:water	Ganges mouth?	The Ganges.	en
ENTY:cremat	Gatsby book?	The Great Gatsby.	en
LOC:state	Gauteng land?	South Africa.	en
ENTY:techmeth	Gene edit?	CRISPR technology.	en
ENTY:techmeth	Gene splicing?	CRISPR technology.	en
NUM:period	Gestation of a cat?	65 days.	en
ENTY:animal	Giraffe neck?	The Reticulated Giraffe.	en
ABBR:abb	Give me the abbreviation for the Environmental Protection Agency.	EPA	en
ABBR:abb	Give me the shorthand for Digital Versatile Disc.	DVD	en
NUM:period	Global climate cycles known as Milankovitch cycles occur over vast periods; provide the length of the eccentricity cycle.	100,000 years.	en
NUM:period	Global climate cycles occur over vast periods; provide the length of a Milankovitch cycle.	100,000 years.	en
LOC:landmass	Gobi desert where?	East Asia.	en
LOC:landmass	Gobi desert?	The Gobi.	en
NUM:money	Gold price?	,000 per ounce.	en
NUM:perc	Gold purity?	Ninety-nine percent.	en
ENTY:substance	Gold symbol?	Au.	en
NUM:other	Golden phi?	1.618.	en
NUM:other	Golden ratio?	1.618.	en
NUM:weight	Golf ball?	45 grams.	en
ENTY:cremat	Gothic literature reached its peak in the 19th century with a novel by Mary Shelley; name it.	Frankenstein.	en
DESC:desc	Gothic style?	Pointed arches and intricate stone carvings.	en
ENTY:techmeth	GPS tracking?	Satellite navigation.	en
DESC:desc	Grand Canyon?	A vast, colorful canyon with steep walls.	en
ENTY:color	Grape color?	Purple.	en
ENTY:color	Grape purple?	Violet.	en
ENTY:color	Grass color?	Green.	en
ENTY:color	Grass shade?	Emerald.	en
NUM:other	Gravity on Moon?	1.62 m/s^2.	en
NUM:dist	Great Wall?	21,196 km.	en
ENTY:letter	Greek Alpha?	Alpha.	en
ENTY:lang	Greek history?	Greek.	en
LOC:landmass	Greenland is an autonomous territory; provide the name of the continent it is geographically part of.	North America.	en
LOC:landmass	Greenland ocean?	Atlantic/Arctic.	en
LOC:landmass	Greenland?	Greenland.	en
NUM:code	GTIN-13 digit count?	13.	en
ENTY:instru	Guitar bridge?	The bridge.	en
ENTY:other	Habit name?	Nocturnal behavior.	en
ENTY:cremat	Hamlet plot?	Hamlet.	en
ENTY:termeq	Happy synonym?	Joyful.	en
ENTY:termeq	Happy term?	Joyful.	en
ENTY:instru	Harp pedals?	The pedals.	en
HUM:title	Health lead?	Surgeon General.	en
ENTY:body	Heart function?	The heart.	en
NUM:weight	Heart mass?	300 grams.	en
ENTY:letter	Hebrew Mem?	מ.	en
ENTY:lang	Hebrew revival?	Hebrew.	en
ENTY:veh	Helicopter?	The Apache.	en
ENTY:symbol	Heraldic lily name?	The Fleur-de-lis.	en
ENTY:symbol	Heraldry lion name?	The Leo.	en
NUM:code	HEX code for navy blue?	#000080.	en
NUM:code	HEX color?	#FFFFFF.	en
NUM:code	HEX for white?	#FFFFFF.	en
NUM:weight	High-precision laboratory scales can measure weights at a very small scale; provide the weight of a fly.	12 milligrams.	en
NUM:speed	High-speed rail has revolutionized travel; provide the operating speed of the TGV.	200 mph.	en
NUM:speed	High-speed rail has revolutionized travel; provide the speed of the TGV.	200 mph.	en
ENTY:event	Hindenburg?	The Hindenburg disaster.	en
ENTY:lang	Hindi roots?	Hindi.	en
ENTY:religion	Hindu Vedas?	Hinduism.	en
ENTY:religion	Hinduism is an incredibly diverse religious tradition; provide the name of the major branch that worships Lord Vishnu.	Vaishnavism.	en
ENTY:religion	Hinduism is an incredibly diverse religious tradition; provide the name of the major branch that worships Vishnu.	Vaishnavism.	en
ENTY:religion	Hinduism is an incredibly diverse tradition; name the branch that worships Vishnu.	Vaishnavism.	en
LOC:state	Hokkaido?	Hokkaido.	en
ENTY:symbol	Holy Om sound sign?	The Om symbol.	en
ENTY:animal	Honey bees live in highly structured colonies governed by a queen; provide the name of the type of bee that builds the hive.	The Worker Bee.	en
NUM:weight	Honeybee?	0.1 grams.	en
ENTY:instru	Horizontal woodwind?	The flute.	en
ENTY:sport	Horse sport?	Polo.	en
HUM:title	House head?	Speaker of the House.	en
NUM:money	House price?	00,000.	en
NUM:dist	How deep is the Mariana Trench at its deepest point in the Pacific?	10,994 meters.	en
ABBR:abb	How do doctors abbreviate the instruction for 'twice a day'?	BID	en
ABBR:abb	How do medical professionals abbreviate 'twice a day'?	BID	en
ABBR:abb	How do you abbreviate California?	CA	en
ABBR:abb	How do you abbreviate the phrase 'as soon as possible'?	ASAP	en
ABBR:abb	How do you abbreviate the state of Texas?	TX	en
DESC:manner	How do you correctly format a formal bibliography in APA style?	List authors, year, title, and publisher in order.	en
DESC:manner	How do you effectively manage a large team in a remote setting?	Using digital communication tools and set clear goals.	en
DESC:manner	How do you effectively manage time when working home?	Set a schedule and take regular breaks.	en
DESC:manner	How do you install a standard ceiling fan safely?	Turn off power and wire to the junction box.	en
DESC:manner	How do you install a standard dimming light switch safely?	Wire the switch to the load and ground wires correctly.	en
DESC:manner	How do you prepare a traditional Italian lasagna?	Layer pasta, sauce, and cheese then bake.	en
DESC:manner	How do you prepare a traditional Japanese miso soup?	Simmer dashi stock and whisk in the miso paste.	en
DESC:manner	How do you troubleshoot a computer that won't start?	Check power supply and reseat the RAM sticks.	en
DESC:manner	How does an inkjet printer precisely apply ink to a page to create a high-resolution image?	Spraying tiny droplets of ink through small nozzles.	en
DESC:manner	How does one effectively propagate succulents from leaf cuttings?	Let the leaf callus then place it on dry soil.	en
DESC:manner	How does one successfully grow tomatoes in a garden?	Watering regularly and using support stakes.	en
NUM:dist	How far can a cheetah run in a single high-speed burst of energy?	500 meters.	en
NUM:dist	How far can a cheetah run in a single high-speed burst?	500 meters.	en
NUM:dist	How far is it from the Earth's surface to the International Space Station?	408 km.	en
NUM:dist	How far is it from the Earth's surface to the ISS?	408 km.	en
NUM:dist	How far is the Earth from the Sun on average during its orbit?	150 million km.	en
NUM:speed	How fast does a bullet travel when fired from a high-powered rifle?	2,800 fps.	en
NUM:speed	How fast does a bullet travel when fired from a rifle?	2,800 fps.	en
NUM:speed	How fast does a peregrine falcon fly during its high-speed dive?	240 mph.	en
